sub_city,state,country,artist,count
Staten Island,NY,USA,"['rza', 'raekwon', 'wu-tang clan ', 'cappadonna', 'ghostface killah']",5
Stone Mountain,GA,USA,"['childish gambino', 'cyhi the prynce']",2
Tallahassee,FL,USA,['t-pain'],1
Toronto,ON,USA,"['kardinal offishall', 'drake', 'nav']",3
Trenton,NJ,USA,['kool moe dee'],1
Tupelo,MS,USA,['rae sremmurd'],1
Vallejo ,CA,USA,['e-40'],1
Ventura,CA,USA,['kyle'],1
Virginia Beach,VA,USA,"['clipse', 'pusha t']",2
"Washington, D.C.","Washington, D.C.",USA,"['shy glizzy', 'wale']",2
Watts,CA,USA,['jay rock'],1
West Philadelphia,PA,USA,['dj jazzy jeff & the fresh prince'],1
Wisconsin Rapids,WI,USA,['jidenna'],1
Yonkers,NY,USA,"['the lox', 'dmx', 'jadakiss']",3
